,0,1
677,25,FNT
678,25,965
679,25,NAD
680,26,E3O
681,26,HL6
682,26,CMP
683,26,ET
684,26,CTI
685,26,3EV
686,26,RF1
687,26,FAD
688,26,C5D
689,26,HC2
690,26,BER
691,26,ANP
692,26,AGS
693,26,GNI
694,26,VDB
695,26,3SF
696,26,REA
697,26,BRL
698,26,GW5
699,26,9RA
700,26,FMN
701,26,DTP
702,26,O40
703,26,TCH
704,26,MUF
705,26,MEI
706,26,TX1
707,26,OHT
708,26,OEF
709,26,TMP
710,26,SDN
711,26,LAE
712,26,ALA
713,26,O8G
714,26,YPA
715,26,QUE
716,26,DHT
717,26,CEK
718,26,S44
719,26,ADP
720,26,APR
721,26,TAC
722,26,CI2
723,26,VDX
724,26,IMD
725,26,RF2
726,26,VDA
727,26,LGD
728,26,GKK
729,26,965
730,26,ERY
731,26,CID
732,26,NAD
733,26,2PQ
734,27,73B
735,27,HL6
736,27,ET
737,27,CMP
738,27,ZTW
739,27,TY4
740,27,RF1
741,27,HC2
742,27,ANP
743,27,DXT
744,27,TDC
745,27,2PQ
746,27,GNI
747,27,ITC
748,27,3SF
749,27,BRL
750,27,P83
751,27,GW5
752,27,9RA
753,27,FMN
754,27,MUF
755,27,O40
756,27,TCH
757,27,CHD
758,27,MEI
759,27,OHT
760,27,TX1
761,27,DTP
762,27,LAE
763,27,ALA
764,27,O8G
765,27,EST
766,27,YPA
767,27,CEK
768,27,ADP
769,27,APR
770,27,CI2
771,27,RF2
772,27,TX3
773,27,PTI
774,27,LGD
775,27,SAL
776,27,GKK
777,27,FNT
778,27,CID
779,27,ATP
780,27,RAL
781,28,LAE
782,29,E3O
783,29,73B
784,29,CMP
785,29,FAD
786,29,CTI
787,29,3EV
788,29,ZTW
789,29,ET
790,29,RF1
791,29,C5D
792,29,TY4
793,29,HC2
794,29,BER
795,29,DXT
796,29,2PQ
797,29,TDC
798,29,GNI
799,29,N6R
800,29,VDB
801,29,ITC
802,29,3SF
803,29,REA
804,29,DAY
805,29,BRL
806,29,2BA
807,29,3AT
808,29,GW5
809,29,9RA
810,29,NAD
811,29,FMN
812,29,MUF
813,29,O40
814,29,TCH
815,29,CHD
816,29,MEI
817,29,TX1
818,29,OHT
819,29,OEF
820,29,LAE
821,29,EST
822,29,O8G
823,29,YPA
824,29,G50
825,29,QUE
826,29,DGT
827,29,DHT
828,29,NAR
829,29,CEK
830,29,S44
831,29,TAC
832,29,ADP
833,29,CI2
834,29,VDX
835,29,IMD
836,29,RF2
837,29,VDA
838,29,TX3
839,29,PTI
840,29,LGD
841,29,T3
842,29,GKK
843,29,FNT
844,29,DEQ
845,29,ERY
846,29,965
847,29,CID
848,29,ATP
849,29,4HY
850,29,AGS
851,29,RAL
852,3,FAD
853,3,CTI
854,3,TY4
855,3,BER
856,3,N6R
857,3,GUN
858,3,GDP
859,3,DAY
860,3,O40
861,3,CHD
862,3,TCH
863,3,TX1
864,3,HPA
865,3,OEF
866,3,TMP
867,3,DDS
868,3,LAE
869,3,TTP
870,3,DHT
871,3,ADE
872,3,SAH
873,3,TX3
874,3,LGD
875,3,A92
876,3,GKK
877,3,SAL
878,3,965
879,3,DEQ
880,3,4HY
881,3,RAL
882,30,E3O
883,30,CMP
884,30,ZTW
885,30,3EV
886,30,TY4
887,30,C5D
888,30,HC2
889,30,ANP
890,30,DXT
891,30,2PQ
892,30,TDC
893,30,N6R
894,30,VDB
895,30,ITC
896,30,C2E
897,30,GW5
898,30,9RA
899,30,MUF
900,30,O40
901,30,MEI
902,30,OHT
903,30,EST
904,30,G50
905,30,QUE
906,30,DHT
907,30,NAR
908,30,ADP
909,30,APR
910,30,TAC
911,30,VDX
912,30,VDA
913,30,PTI
914,30,GKK
915,30,LGD
916,30,965
917,30,ERY
918,30,DEQ
919,30,ATP
920,30,4HY
921,30,NAD
922,30,RAL
923,31,C2E
924,31,FAD
925,31,DTP
926,31,DXT
927,31,TDC
928,31,ERY
929,31,ADP
930,31,ITC
931,31,ATP
932,31,TMP
933,32,T3
934,32,ANP
935,32,DTP
936,32,BER
937,32,T2B
938,32,ADP
939,32,G2P
940,32,ATP
941,32,AGS
942,32,MHF
943,33,E3O
944,33,3GN
945,33,ET
946,33,CMP
947,33,ZTW
948,33,CTI
949,33,AAI
950,33,FAD
951,33,TY4
952,33,BER
953,33,ANP
954,33,N6R
955,33,DAY
956,33,GW5
957,33,9RA
958,33,FMN
959,33,DTP
960,33,O40
961,33,TCH
962,33,MUF
963,33,MEI
964,33,OHT
965,33,DDS
966,33,TX1
967,33,SDN
968,33,ALA
969,33,TTP
970,33,EST
971,33,MHF
972,33,YPA
973,33,G50
974,33,QUE
975,33,NAR
976,33,DHT
977,33,CEK
978,33,S44
979,33,ADP
980,33,APR
981,33,TAC
982,33,T2B
983,33,TX3
984,33,A92
985,33,PTI
986,33,LGD
987,33,SAL
988,33,FNT
989,33,965
990,33,DEQ
991,33,ATP
992,33,AGS
993,33,RAL
994,34,E3O
995,34,HL6
996,34,CMP
997,34,ET
998,34,CTI
999,34,3EV
1000,34,ANP
1001,34,BER
1002,34,DXT
1003,34,TDC
1004,34,N6R
1005,34,ITC
1006,34,REA
1007,34,GDP
1008,34,DAY
1009,34,C2E
1010,34,BRL
1011,34,9RA
1012,34,O40
1013,34,TCH
1014,34,CHD
1015,34,MEI
1016,34,OEF
1017,34,TMP
1018,34,NAP
1019,34,EST
1020,34,YPA
1021,34,QUE
1022,34,SFG
1023,34,NAR
1024,34,CEK
1025,34,S44
1026,34,ADP
1027,34,APR
1028,34,T2B
1029,34,TAC
1030,34,VDX
1031,34,VDA
1032,34,LGD
1033,34,SAL
1034,34,T3
1035,34,FNT
1036,34,DEQ
1037,34,965
1038,34,ERY
1039,34,ATP
1040,34,4HY
1041,34,AGS
1042,34,2PQ
1043,35,73B
1044,35,CMP
1045,35,ET
1046,35,3EV
1047,35,C5D
1048,35,DXT
1049,35,TDC
1050,35,GNI
1051,35,VDB
1052,35,REA
1053,35,DAY
1054,35,C2E
1055,35,BRL
1056,35,MEI
1057,35,DDS
1058,35,NAP
1059,35,TTP
1060,35,YPA
1061,35,CEK
1062,35,S44
1063,35,ADP
1064,35,T2B
1065,35,VDX
1066,35,VDA
1067,35,A92
1068,35,ATP
1069,35,2PQ
1070,36,2BA
1071,36,P83
1072,36,SDN
1073,36,MUF
1074,36,AGS
1075,36,ADP
1076,36,NAP
1077,36,ATP
1078,36,NAD
1079,37,E3O
1080,37,CMP
1081,37,ZTW
1082,37,TY4
1083,37,RF1
1084,37,ANP
1085,37,BER
1086,37,G2P
1087,37,3SF
1088,37,GW5
1089,37,NAD
1090,37,O40
1091,37,TCH
1092,37,OHT
1093,37,TX1
1094,37,OEF
1095,37,TMP
1096,37,NAP
1097,37,SDN
1098,37,ALA
1099,37,O8G
1100,37,EST
1101,37,YPA
1102,37,QUE
1103,37,DGT
1104,37,NAR
1105,37,ADP
1106,37,TAC
1107,37,T2B
1108,37,APR
1109,37,RF2
1110,37,TX3
1111,37,PTI
1112,37,GKK
1113,37,SAL
1114,37,T3
1115,37,LGD
1116,37,FNT
1117,37,ERY
1118,37,ATP
1119,37,4HY
1120,37,AGS
1121,37,RAL
1122,38,3GN
1123,38,AAI
1124,38,ANP
1125,38,AGS
1126,38,GDP
1127,38,BRL
1128,38,DTP
1129,38,MEI
1130,38,DDS
1131,38,ALA
1132,38,TTP
1133,38,GJW
1134,38,YPA
1135,38,SFG
1136,38,S44
1137,38,ADP
1138,38,APR
1139,38,A92
1140,38,L3L
1141,38,ATP
1142,38,NAD
1143,39,TY4
1144,39,ATP
1145,39,TX1
1146,39,TX3
1147,4,3GN
1148,4,FAD
1149,4,AAI
1150,4,OEF
1151,4,BER
1152,4,ADE
1153,4,ANP
1154,4,DTP
1155,4,HPA
1156,4,APR
1157,4,ATP
1158,4,GUN
1159,4,AGS
1160,40,C2E
1161,40,VDA
1162,40,9RA
1163,40,C5D
1164,40,ANP
1165,40,FMN
1166,40,CEK
1167,40,ADP
1168,40,OEF
1169,40,VDB
1170,40,ATP
1171,40,REA
1172,40,AGS
1173,41,E3O
1174,41,CMP
1175,41,ZTW
1176,41,RF1
1177,41,HC2
1178,41,ANP
1179,41,RAL
1180,41,N6R
1181,41,3SF
1182,41,REA
1183,41,BRL
1184,41,2BA
1185,41,GW5
1186,41,9RA
1187,41,FMN
1188,41,MUF
1189,41,O40
1190,41,MEI
1191,41,OHT
1192,41,OEF
1193,41,TMP
1194,41,EST
1195,41,O8G
1196,41,YPA
1197,41,G50
1198,41,CEK
1199,41,S44
1200,41,ADP
1201,41,SAH
1202,41,RF2
1203,41,PTI
1204,41,SAL
1205,41,965
1206,41,ATP
1207,41,4HY
1208,41,NAD
1209,41,2PQ
1210,42,E3O
1211,42,3GN
1212,42,HL6
1213,42,CMP
1214,42,FAD
1215,42,3EV
1216,42,AAI
1217,42,RF1
1218,42,CTI
1219,42,ZTW
1220,42,C5D
1221,42,HC2
1222,42,ANP
1223,42,2PQ
1224,42,GNI
1225,42,VDB
1226,42,3SF
1227,42,REA
1228,42,DAY
1229,42,BRL
1230,42,GW5
1231,42,9RA
1232,42,FMN
1233,42,MUF
1234,42,O40
1235,42,TCH
1236,42,CHD
1237,42,MEI
1238,42,OHT
1239,42,DDS
1240,42,OEF
1241,42,DTP
1242,42,O8G
1243,42,EST
1244,42,GJW
1245,42,G50
1246,42,YPA
1247,42,QUE
1248,42,NAR
1249,42,CEK
1250,42,S44
1251,42,ADP
1252,42,CI2
1253,42,SAH
1254,42,VDX
1255,42,RF2
1256,42,VDA
1257,42,A92
1258,42,PTI
1259,42,L3L
1260,42,FNT
1261,42,DEQ
1262,42,965
1263,42,ERY
1264,42,CID
1265,42,ATP
1266,42,4HY
1267,42,RAL
1268,43,GJW
1269,43,ET
1270,43,TY4
1271,43,ANP
1272,43,BER
1273,43,L3L
1274,43,DEQ
1275,43,DDS
1276,43,CID
1277,43,ATP
1278,43,TTP
1279,43,AGS
1280,43,MHF
1281,44,SDN
1282,44,SFG
1283,44,APR
1284,44,CID
1285,44,G2P
1286,44,HPA
1287,44,NAP
1288,44,ATP
1289,44,ADP
1290,44,4HY
1291,44,ALA
1292,44,AGS
1293,44,MHF
1294,45,E3O
1295,45,3GN
1296,45,CMP
1297,45,FAD
1298,45,3EV
1299,45,TY4
1300,45,CTI
1301,45,AAI
1302,45,ET
1303,45,C5D
1304,45,ANP
1305,45,DXT
1306,45,TDC
1307,45,N6R
1308,45,ITC
1309,45,VDB
1310,45,GUN
1311,45,GDP
1312,45,3AT
1313,45,P83
1314,45,FMN
1315,45,DTP
1316,45,MUF
1317,45,O40
1318,45,TX1
1319,45,DDS
1320,45,HPA
1321,45,TMP
1322,45,NAP
1323,45,OEF
1324,45,TTP
1325,45,MHF
1326,45,GJW
1327,45,YPA
1328,45,QUE
1329,45,SFG
1330,45,NAR
1331,45,CEK
1332,45,S44
1333,45,ADP
1334,45,VDX
1335,45,SAH
1336,45,VDA
1337,45,TX3
1338,45,A92
1339,45,PTI
1340,45,L3L
1341,45,965
1342,45,ERY
1343,45,DEQ
